"ENSEMBL","ENTREZID"
"ENSG00000116604","4209"
"ENSG00000221886","63920"
"ENSG00000104635","23516"
"ENSG00000142945","11004"
"ENSG00000204482","7940"
"ENSG00000184271","5463"
"ENSG00000234616","8629"
"ENSG00000099622","1153"
"ENSG00000273604","100170841"
"ENSG00000146592","9586"
"ENSG00000256294","7768"
"ENSG00000198081","7541"
"ENSG00000108774","5878"
"ENSG00000160584","23387"
"ENSG00000245164","100130231"
"ENSG00000070366","23293"
"ENSG00000177051","23403"
"ENSG00000146834","56257"
"ENSG00000172830","54961"
"ENSG00000282608","140"
"ENSG00000101307","10326"
"ENSG00000122390","79903"
"ENSG00000273802","8339"
"ENSG00000150630","7424"
"ENSG00000196547","4122"
"ENSG00000110079","51338"
"ENSG00000127152","64919"
"ENSG00000164251","2150"
"ENSG00000197728","6231"
"ENSG00000200983","619562"
"ENSG00000201654","101954275"
"ENSG00000202337","101954278"
"ENSG00000242732","340526"
"ENSG00000110104","79080"
"ENSG00000215012","79680"
"ENSG00000142599","473"
"ENSG00000198355","415116"
"ENSG00000165197","2277"
"ENSG00000236790","339788"
"ENSG00000236790","339789"
"ENSG00000236790","101929567"
"ENSG00000186130","10773"
"ENSG00000235865","57000"
"ENSG00000189298","80317"
"ENSG00000166979","59271"
"ENSG00000112984","10112"
"ENSG00000112787","57666"
"ENSG00000187474","2359"
"ENSG00000075407","7587"
"ENSG00000088256","2767"
"ENSG00000143851","5778"
"ENSG00000110651","975"
"ENSG00000166004","85459"
"ENSG00000175274","9537"
"ENSG00000200792","677846"
"ENSG00000179833","9792"
"ENSG00000200354","677840"
"ENSG00000107317","5730"
"ENSG00000222489","109616976"
"ENSG00000291135","2210"
"ENSG00000112306","6206"
"ENSG00000140398","79661"
"ENSG00000119725","57862"
"ENSG00000126787","9787"
"ENSG00000275004","140883"
"ENSG00000188033","57474"
"ENSG00000162298","84447"
"ENSG00000173372","712"
"ENSG00000166743","116285"
"ENSG00000059804","6515"
"ENSG00000276027","267010"
"ENSG00000125826","10616"
"ENSG00000147403","6134"
"ENSG00000102786","26512"
"ENSG00000138166","1847"
"ENSG00000221823","5534"
"ENSG00000138336","80312"
"ENSG00000181215","389197"
"ENSG00000157542","3763"
"ENSG00000141905","4782"
"ENSG00000206634","677807"
"ENSG00000116747","6738"
"ENSG00000201229","109616971"
"ENSG00000127081","83744"
"ENSG00000185650","677"
"ENSG00000041880","10039"
"ENSG00000101639","55125"
"ENSG00000213339","81890"
"ENSG00000269374","732229"
"ENSG00000206811","574042"
"ENSG00000120306","84418"
"ENSG00000011426","54443"
"ENSG00000114013","942"
"ENSG00000287736","100302522"
"ENSG00000149474","57325"
"ENSG00000047621","57102"
"ENSG00000150681","64407"
"ENSG00000143297","83416"
"ENSG00000181631","53829"
"ENSG00000168497","8436"
"ENSG00000112742","7272"
"ENSG00000156304","57466"
"ENSG00000166266","8065"
"ENSG00000004799","5166"
"ENSG00000281852","441501"
"ENSG00000208772","692225"
"ENSG00000163739","2919"
"ENSG00000133250","84330"
"ENSG00000109674","55247"
"ENSG00000144810","1295"
"ENSG00000166949","4088"
"ENSG00000124731","54210"
"ENSG00000164056","10252"
"ENSG00000173218","81839"
"ENSG00000243279","11230"
"ENSG00000065491","55633"
"ENSG00000135222","1447"
"ENSG00000197958","6136"
"ENSG00000121621","81930"
"ENSG00000277194","9304"
"ENSG00000206597","692158"
"ENSG00000148773","4288"
"ENSG00000120784","22835"
"ENSG00000155393","55027"
"ENSG00000189233","389643"
"ENSG00000205413","54809"
"ENSG00000178726","7056"
"ENSG00000183530","253143"
"ENSG00000185049","7469"
"ENSG00000239039","692084"
"ENSG00000196890","128312"
"ENSG00000156639","60685"
"ENSG00000060982","586"
"ENSG00000068354","4943"
"ENSG00000159905","7638"
"ENSG00000103522","50615"
"ENSG00000138246","23317"
"ENSG00000122257","5930"
"ENSG00000198576","23237"
"ENSG00000105397","7297"
"ENSG00000103494","23322"
"ENSG00000152213","115761"
"ENSG00000183864","10766"
"ENSG00000186265","151888"
"ENSG00000152253","57405"
"ENSG00000051108","9709"
"ENSG00000136205","64759"
"ENSG00000104368","5327"
"ENSG00000128815","57705"
"ENSG00000113088","3003"
"ENSG00000164002","64789"
"ENSG00000077152","29089"
"ENSG00000215156","124906495"
"ENSG00000215156","124906497"
"ENSG00000140090","123041"
"ENSG00000161888","147841"
"ENSG00000172115","54205"
"ENSG00000172322","160364"
"ENSG00000207088","677797"
"ENSG00000130766","83667"
"ENSG00000250742","400043"
"ENSG00000153815","80790"
"ENSG00000197779","347344"
"ENSG00000211897","3502"
"ENSG00000183696","7378"
"ENSG00000075429","27091"
"ENSG00000174125","7096"
"ENSG00000276509","105371254"
"ENSG00000196505","54834"
"ENSG00000068489","55771"
"ENSG00000163568","9447"
"ENSG00000220205","6844"
"ENSG00000237330","401934"
"ENSG00000159189","714"
"ENSG00000183248","80164"
"ENSG00000165810","153579"
"ENSG00000102103","10084"
"ENSG00000252947","677774"
"ENSG00000187837","3006"
"ENSG00000261052","6818"
"ENSG00000261052","124907837"
"ENSG00000290751","6953"
"ENSG00000198700","55705"
"ENSG00000119655","10577"
"ENSG00000120457","3762"
"ENSG00000125245","2841"
"ENSG00000010319","56920"
"ENSG00000219200","440400"
"ENSG00000128604","3663"
"ENSG00000103966","30844"
"ENSG00000154133","54538"
"ENSG00000100575","26520"
"ENSG00000141753","3487"
"ENSG00000171320","157570"
"ENSG00000126882","286336"
"ENSG00000143367","7286"
"ENSG00000048462","608"
"ENSG00000134243","6272"
"ENSG00000167634","199713"
"ENSG00000172354","2783"
"ENSG00000174600","1240"
"ENSG00000128590","4189"
"ENSG00000159176","1465"
"ENSG00000182107","161291"
"ENSG00000115137","51277"
"ENSG00000095787","51322"
"ENSG00000183421","54101"
"ENSG00000279891","401105"
"ENSG00000052344","5652"
"ENSG00000197915","388697"
"ENSG00000131831","10742"
"ENSG00000100429","83933"
